ClusterName,ProjectLine,ProjectDesc,ProjectCode,Namespace,WorkloadName,CreateTime,WorkloadRam,WorkloadCpu,WorkloadReplicas
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-timertask-asmp-crcprd,2020/11/11,2048,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-viproom-asmp-crcprd,2020/06/02,2048,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-xxljob-prd-asmp-crcprd,2020/09/22,3072,1,1
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-zuul-service-asmp-crcprd,2020/06/02,2048,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,mams-mdm-sync-asmp-crcprd,2022/01/02,5120,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,ripples-mams-asmp-crcprd,2020/06/02,5120,2,0
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,acqui-api,2021/12/02,1024,1,2
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,acqui-beat,2021/12/02,512,1,1
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,acqui-worker,2021/12/02,2048,1,2
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,bello-nlp,2021/12/02,4608,1,2
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,cv-preview,2024/01/04,2048,2,1
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,doc2pdf,2021/12/02,1024,1,0
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,elasticdump,2021/09/08,1024,1,1
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,file-parser,2021/12/02,2560,1,2
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,mongo,2021/09/08,1024,1,1
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,osr-api,2021/12/02,1024,1,2
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,osr-beat,2021/12/02,512,1,0
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,osr-web,2021/12/02,512,1,2
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,osr-worker,2021/12/02,1024,1,1
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,proxy-uniadmin,2021/12/02,1024,1,2
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,recommender-api,2021/12/02,3072,2,2
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,recommender-worker,2021/12/02,2048,1,0
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,redis,2021/09/08,1024,1,1
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,resume-parser,2021/12/02,3072,2,4
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,van-gogh,2021/12/02,6144,1,2
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,van-gogh-beat,2021/12/02,4096,1,1
crc-itcp-prd-02,智能人力,人力孵化产品,crhr,bello-prd,van-gogh-worker,2023/11/09,3072,1,4
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,bsop-approval-app,2023/03/15,512,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,bsop-frontend,2024/01/12,2048,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,bsop-integration,2023/01/17,512,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,bsop-job-admin,2023/01/17,1024,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,bsop-service,2024/09/26,4096,2,2
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,bsop-tenant,2023/01/17,1024,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,bsop-tenant-frontend,2024/01/12,512,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,bsop-workflow,2024/07/26,1024,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,ripplescloud-auth,2023/01/17,1024,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,ripplescloud-file,2023/01/17,2048,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,ripplescloud-gateway,2023/01/17,1024,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,ripplescloud-mgt,2024/05/29,2048,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,ripplescloud-nacos,2023/01/16,2048,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,ripplescloud-org,2024/05/29,2048,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,ripplescloud-setting,2023/01/17,1024,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,ripplescloud-ui,2023/01/17,512,1,1
crc-itcp-prd-02,城建及公共,商业空间运营平台,bsop,bsop-prod,ripplescloud-user,2023/01/17,1024,1,1
crc-itcp-prd-02,,,System,cattle-system,cattle-cluster-agent,2020/06/01,0,0,1
crc-itcp-prd-02,华润云,行云,steam-cloud,choerodon,choerodon-cluster-agent-crc-itcp-prd-02,2020/06/01,512,0,0
crc-itcp-prd-02,协同效率,公文系统,odms,cldoa-prd,screenshot-api-server,2023/07/06,4096,2,1
crc-itcp-prd-02,协同效率,评价系统,cles,cles-prod,cles-base-cles-prod,2021/11/16,2048,1,0
crc-itcp-prd-02,协同效率,评价系统,cles,cles-prod,cles-eureka-cles-prod,2020/07/09,2048,1,0
crc-itcp-prd-02,协同效率,评价系统,cles,cles-prod,cles-file-cles-prod,2021/11/16,2048,1,0
crc-itcp-prd-02,协同效率,评价系统,cles,cles-prod,cles-frontend-cles-prod,2020/09/25,1024,1,0
crc-itcp-prd-02,协同效率,评价系统,cles,cles-prod,cles-mams-rest-cles-prod,2020/07/09,5120,1,0
crc-itcp-prd-02,协同效率,评价系统,cles,cles-prod,cles-rest-cles-prod,2021/11/17,3072,1,0
crc-itcp-prd-02,协同效率,评价系统,cles,cles-prod,cles-zuul-cles-prod,2020/07/09,2048,1,0
crc-itcp-prd-02,协同效率,评价系统,cles,cles-prod,mams-mdm-sync-cles-prod,2020/07/09,3072,1,0
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-archive-cms-prd-yii2f2,2023/06/29,3072,1,1
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-auth-cms-prd-2sohfq,2023/06/29,2048,1,1
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-avatar-cms-prd-oyqjen,2022/08/25,2048,2,1
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-bpm-cms-prd-445fe6,2023/06/29,4096,1,2
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-cm-cms-prd-mx903x,2023/06/29,6144,1,2
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-config-cms-prd-wgyvgt,2023/06/29,1024,1,2
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-eureka-cms-prd-53pegb,2023/06/29,1024,1,1
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-jobadmin-cms-prd-yaogfq,2023/06/29,1024,1,1
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-jobexcute-cms-prd-q9ysmo,2023/06/29,1024,1,3
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-monitor-cms-prd-so034w,2023/06/29,2048,1,1
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-web-cms-prd-8terh2,2021/07/08,524,1,2
crc-itcp-prd-02,智能风控,华创合同,cms,cms-prd,cms-zuul-cms-prd-tkilmm,2023/06/29,4096,1,2
crc-itcp-prd-02,智能财务,数科成本系统,costsys,costsys-prd,cost-ingress-costsys-prd-fbw8wj,2023/06/28,3072,1,1
crc-itcp-prd-02,智能财务,数科成本系统,costsys,costsys-prd,cost-redis-costsys-prd-v66inm,2023/07/06,256,1,1
crc-itcp-prd-02,智能财务,数科成本系统,costsys,costsys-prd,costsystem-service-costsys-prd-2or4mp,2023/07/24,6144,2,2
crc-itcp-prd-02,智能财务,数科成本系统,costsys,costsys-prd,costsystem-web,2023/07/03,2048,1,2
crc-itcp-prd-02,智能财务,数科成本系统,costsys,costsys-prd,xxl-job-costsys-prd-cjtsgi,2023/06/28,3072,1,1
crc-itcp-prd-02,效能中心,客户门户,cpps,cpps-prod,author-ldap-cpps-prod,2021/03/30,4096,1,0
crc-itcp-prd-02,效能中心,客户门户,cpps,cpps-prod,back-business-cpps-prod,2021/06/28,4096,1,0
crc-itcp-prd-02,效能中心,客户门户,cpps,cpps-prod,back-docke-cpps-prod,2021/06/03,4096,1,0
crc-itcp-prd-02,效能中心,客户门户,cpps,cpps-prod,customer-portal-project-cpps-prod,2021/03/30,3072,1,0
crc-itcp-prd-02,效能中心,客户门户,cpps,cpps-prod,front-cpps-prod,2021/06/03,512,1,0
crc-itcp-prd-02,效能中心,客户门户,cpps,cpps-prod,gateway-cpps-prod,2021/05/06,4096,1,0
crc-itcp-prd-02,效能中心,客户门户,cpps,cpps-prod,platform-cpps-prod,2021/05/06,4096,1,0
crc-itcp-prd-02,效能中心,客户门户,cpps,cpps-prod,webgate-cpps-prod-nhl4am,2021/06/15,0,0,0
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-admin-cralm-prd-0cnl0o,2021/09/15,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-atn-cralm-prd-0azlu4,2021/11/04,1024,2,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-config-cralm-prd-f447m6,2021/09/21,516,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-file-cralm-prd-efj3jj,2021/09/16,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-front-cralm-prd,2021/04/29,512,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-gateway-cralm-prd-xht4sf,2021/09/16,1024,2,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-iam-cralm-prd-127ibh,2024/07/29,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-import-cralm-prd-ie3q81,2024/07/29,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-interface-cralm-prd-vbf2vq,2021/09/16,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-mdm-cralm-prd-uj9abx,2021/09/17,1024,2,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-message-cralm-prd-2lj65j,2021/09/17,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-mmt-cralm-prd-upxr2c,2021/09/17,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-mtc-cralm-prd-v0a6ex,2021/09/17,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-oauth-cralm-prd-jt02oy,2021/09/16,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-platform-cralm-prd-rg2c8h,2021/09/17,1024,2,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-ppm-cralm-prd-rpb7bt,2021/09/17,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-register-cralm-prd-n4rv8g,2021/09/21,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-report-cralm-prd-dsqjc2,2021/09/17,516,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-scheduler-cralm-prd-smzx1r,2021/09/16,1024,2,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,cralm-workflow-plus-cralm-prd-6y1q0i,2021/09/16,1024,1,1
crc-itcp-prd-02,战略经营,资产管理系统,cralm,cralm-prd,crhzero-platform-cralm-prd-x6m21f,2021/09/16,1024,1,1
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,busybox,2024/01/03,0,0,0
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-admin-crbev-prd-arhwhc,2022/03/28,4096,2,1
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-basic-platform-crbev-prd-754e49,2023/04/18,8192,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-config-crbev-prd-bvb2js,2022/03/28,3072,2,0
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-data-analysis-crbev-prd-igjjqt,2024/02/29,5120,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-db-script-crbev-prd-yza6zu,2024/02/29,4096,1,1
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-file-crbev-prd-w7qs29,2023/06/09,8192,3,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-front-core-crbev-prd-c4ccua,2022/03/28,512,1,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-gateway-crbev-prd-xbq8hc,2023/06/09,6144,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-iam-crbev-prd-y2pvb1,2022/03/28,7168,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-import-crbev-prd-ccknib,2022/03/28,2048,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-interface-config-crbev-prd-jyw4ix,2022/03/28,2048,2,0
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-interface-crbev-prd-kvumt2,2022/03/28,4096,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-mdm-crbev-prd-hmqt7s,2022/03/29,5120,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-message-crbev-prd-l6y01r,2022/03/29,4096,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-oauth-crbev-prd-k8ndfy,2022/03/29,6144,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-platform-crbev-prd-rmklpd,2022/03/29,5120,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-qam-crbev-prd-4049q9,2022/07/26,3072,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-report-crbev-prd-nzwnbm,2022/03/29,4096,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-saas-cux-crbev-prd-cy3ilf,2022/03/29,5120,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-saga-crbev-prd-lc6aov,2022/03/28,1536,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-scheduler-crbev-prd-g4mgrz,2022/03/28,4096,2,1
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-source-crbev-prd-hp82h3,2023/08/03,5120,2,1
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-spds-crbev-prd-31rebr,2022/03/28,5120,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-supplier-cooperation-crbev-prd-ge5qex,2024/02/29,5120,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-supplier-crbev-prd-5hehqn,2022/10/10,5120,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-supplier-life-cycle-crbev-prd-6qh1xs,2024/02/29,5120,2,2
crc-itcp-prd-02,供应链数字,华润怡宝数据报送平台,crbev,crbev-prd,srm-register,2022/03/28,1536,2,2
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-archive-crbr-cms-prd-qytbbo,2022/09/17,3072,1,1
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-auth-crbr-cms-prd,2020/11/27,4096,1,2
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-avatar-crbr-cms-prd-moiysh,2022/07/25,2048,1,1
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-bpm-crbr-cms-prd,2021/05/27,6144,1,2
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-cm-crbr-cms-prd,2021/12/03,9216,1,2
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-config-crbr-cms-prd,2020/12/04,2048,1,2
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-eureka-crbr-cms-prd,2020/11/27,4096,1,1
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-mobweb-crbr-cms-prd,2020/12/01,524,1,2
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-mobweb-ework-crbr-cms-prd-8aj7oh,2021/10/22,524,1,2
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-mobweb-run3-crbr-cms-prd,2021/03/29,524,1,2
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-monitor-crbr-cms-prd,2022/01/13,4096,1,0
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-quartz-crbr-cms-prd,2020/12/04,2048,1,1
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-quartz-jobadmin-crbr-cms-prd,2020/11/27,2048,1,1
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-web-crbr-cms-prd,2020/12/22,524,1,2
crc-itcp-prd-02,智能风控,怡宝合同,crbr-cms,crbr-cms-prd,cms-zuul-crbr-cms-prd,2022/09/17,6144,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,prd-apollo-admin-1g2sjf,2022/11/25,1024,1,1
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,prd-apollo-config-jua8gj,2022/11/25,1024,1,1
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,prd-apollo-portal-g99p6i,2022/11/25,1024,1,1
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,prd-app-web-6avelq,2022/11/24,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,prd-web-lqpt7t,2022/11/24,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-account-svc,2022/11/28,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-activiti-svc,2022/11/25,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-app-admin-svc,2022/11/28,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-archive-svc,2022/11/28,1024,1,1
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-avatar-svc,2022/11/28,2048,1,1
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-base-svc,2022/11/25,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-bpm-adapter-svc,2022/11/28,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-contract-svc,2022/11/28,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-eureka-svc,2022/09/03,1024,1,1
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-filepreview-svc,2023/08/16,1024,1,1
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-gateway-svc,2022/11/25,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-interface-svc,2022/11/28,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-message-svc,2022/11/28,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-permission-svc,2022/11/28,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-proxy-svc,2022/11/24,1024,1,2
crc-itcp-prd-02,智能风控,华润环保合同管理系统,crcept-cms,crcept-cms-prd,slmp-xxljob-admin-svc,2022/11/28,1024,1,1
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,prd-apollo-admin-fsg4hl,2021/09/17,1024,1,1
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,prd-apollo-config-banzky,2021/09/17,1024,1,1
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,prd-apollo-portal-x2z08y,2021/09/17,1024,1,1
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,prd-app-web-exgpyn,2021/09/29,1024,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,prd-web-h33zjx,2021/09/18,1024,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-account-svc,2021/09/18,1024,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-activiti-svc,2021/12/04,4096,2,3
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-app-admin-svc,2022/05/17,1024,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-base-svc,2021/11/05,2048,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-bpm-adapter-svc,2021/09/18,2048,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-contract-svc,2021/09/18,2048,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-eureka-svc,2021/09/14,1024,1,1
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-filepreview-svc,2022/01/06,1024,1,1
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-gateway-svc,2022/11/18,1024,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-interface-svc,2021/09/18,1024,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-message-svc,2021/12/07,1024,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-permission-svc,2021/10/01,1024,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-proxy-svc,2022/11/18,1024,1,2
crc-itcp-prd-02,智能风控,华润燃气合同管理,crcgas-cms,crcgas-cms-prd,slmp-xxljob-admin-svc,2021/09/17,1024,1,1
crc-itcp-prd-02,智能财务,润财汇2.0,emsrg,crcsoft-emsrg-prd,busybox,2022/10/14,128,1,1
crc-itcp-prd-02,智能财务,润财汇2.0,emsrg,crcsoft-emsrg-prd,rg-ems-account-crcsoft-emsrg-prd-47jwdn,2021/06/25,3072,1,1
